wsid,wsnm,lat,lon
178,SÃO GONÇALO,-6.835777,-38.311583
303,VITÓRIA,-20.271094,-40.306069
304,SANTA TERESA,-19.988388,-40.579572
305,LINHARES,-19.356923,-40.06868
306,ALFREDO CHAVES,-20.636526,-40.741818
307,SÃO MATEUS,-18.676198,-39.864051
308,ALEGRE,-20.750412,-41.488852
309,PRES. KENNEDY,-21.100805,-41.039395
310,NOVA VENECIA,-18.695265,-40.390572
311,AFONSO CLAUDIO,-20.104194,-41.106861
312,BARBACENA,-21.228373,-43.767703
313,ARAXÁ,-19.605696,-46.949617
314,MONTES CLAROS,-16.686316,-43.843763
315,UBERLÂNDIA,-18.917072,-48.255657
316,ALMENARA,-16.166773,-40.687756
317,MONTE VERDE,-22.861604,-46.043365
318,VIÇOSA,-20.762607,-42.864013
319,TIMÓTEO,-19.573824,-42.622413
320,ITUIUTABA,-18.952907,-49.525072
321,OURO BRANCO,-20.556592,-43.75622
322,S.J.DEL REI,-21.106502,-44.250928
323,VARGINHA,-21.566513,-45.4043
324,PASSOS,-20.745237,-46.633916
325,MURIAÉ,-21.104867,-42.375904
326,JUÍZ DE FORA,-21.769965,-43.364329
327,CAMPINA VERDE,-19.53921,-49.518133
328,CONC. DAS ALAGOAS,-19.98586,-48.151574
329,BELO HOR. (PAMPULHA),-19.883945,-43.969397
330,SERRA DOS AIMORES,-17.798799,-40.249933
331,PATROCÍNIO,-18.996684,-46.985935
332,FORMIGA,-20.45493,-45.453825
333,SACRAMENTO,-19.875271,-47.434102
334,MONTALVANIA,-14.408228,-44.404123
335,TEÓFILO OTONI,-17.89284,-41.515423
336,TRÊS MARIAS,-18.200855,-45.459836
337,PASSA QUATRO,-22.395799,-44.961909
338,CALDAS,-21.918066,-46.382996
339,MARIA DA FÉ,-22.314567,-45.373049
340,GOVERNADOR VALADARES,-18.830354,-41.977007
341,GUANHÃES,-18.786842,-42.942921
342,AIMORES,-19.532768,-41.090801
343,FLORESTAL,-19.885398,-44.416883
344,DORES DO INDAIÁ,-19.481935,-45.593932
345,DIAMANTINA,-18.231052,-43.648269
346,CURVELO,-18.747711,-44.453785
347,MOCAMBINHO,-15.085958,-44.016036
348,MANTENA,-18.78062,-40.986505
349,CAPELINHA,-17.705504,-42.389256
350,UNAI,-16.554101,-46.881935
351,ESPINOSA,-14.912284,-42.808473
352,BURITIS,-15.524262,-46.435536
353,PIRAPORA,-17.258064,-44.8356
354,GUARDA-MOR,-17.561349,-47.199251
355,SÃO ROMÃO,-16.362747,-45.123801
356,CHAPADA GAÚCHA,-15.300159,-45.617431
357,ÁGUAS VERMELHAS,-15.751536,-41.457787
358,ITAOBIM,-16.575667,-41.485588
359,RIO PARDO DE MINAS,-15.723139,-42.43575
360,SALINAS,-16.160327,-42.310266
361,JOÃO PINHEIRO,-17.78477,-46.119394
362,CARATINGA,-19.735757,-42.137146
363,IBIRITÈ (ROLA MOÇA),-20.031457,-44.011249
364,MANHUAÇU,-20.263378,-42.182817
365,CORONEL PACHECO,-21.546728,-43.261029
367,POMPEU,-19.239555,-45.008187
368,SÃO SEBASTIAO DO PARAÍSO,-20.909892,-47.114259
370,BELO HORIZONTE - CERCADINHO,-19.980034,-43.958651
371,ECOLOGIA AGRÍCOLA,-22.757868,-43.684843
372,MARAMBAIA,-23.050334,-43.595685
373,XEREM,-22.589806,-43.282233
374,CAMBUCÍ,-21.587729,-41.958327
375,ARRAIAL DO CABO,-22.975468,-42.02145
376,CAMPOS,-22.041647,-41.051871
377,MACAÉ,-22.376318,-41.812053
378,RESENDE,-22.450924,-44.444786
379,PICO DO COUTO,-22.464889,-43.291505
380,VALENÇA,-22.358094,-43.695656
381,TERESÓPOLIS,-22.448922,-42.987146
382,PARATÍ,-23.22354,-44.726863
383,SÃO TOMÉ,-22.041647,-41.051871
384,VILA MILITAR,-22.861322,-43.41141
385,NOVA FRIBURGO,-22.334839,-42.676932
388,FORTE DE COPACABANA,-22.988286,-43.190436
389,JACAREPAGUA,-22.939883,-43.402897
390,SILVA JARDIM,-22.645911,-42.415775
391,SAQUAREMA,-22.871321,-42.609219
392,SAO PAULO,-23.496294,-46.620088
393,BAURU,-22.358052,-49.028877
394,CAMPOS DO JORDÃO,-22.750231,-45.603836
395,PRESIDENTE PRUDENTE,-22.119867,-51.408637
396,FRANCA,-20.584475,-47.382549
397,SÃO CARLOS,-21.980353,-47.883927
398,IGUAPE,-24.671654,-47.545896
399,SOROCABA,-23.426035,-47.585552
400,ITAPEVA,-23.981918,-48.885818
401,S. MIG. ARCANJO,-23.852022,-48.164817
402,OURINHOS,-22949,-49.894546
403,RANCHARIA,-22.372832,-50.97471
404,AVARÉ,-23.101749,-48.940997
405,PIRACICABA,-22.703132,-47.623317
406,LINS,-21.666045,-49.734854
407,TAUBATÉ,-23.041668,-45.520841
408,VOTUPORANGA,-20.403221,-49.966031
409,JALES,-20.165025,-50.595134
410,VALPARAISO,-21.319138,-50.930158
411,JOSÉ BONIFÁCIO,-21.085675,-49.920388
412,ARIRANHA,-21.132937,-48.840426
413,IBITINGA,-21.855567,-48.799717
414,CASA BRANCA,-21.78056,-47.07528
415,ITAPIRA,-22.415062,-46.805292
416,S LUIS DO PARAITINGA,-23.228362,-45.417055
417,BARRA BONITA,-22.471205,-48.557573
418,MOELA,0.0,0.0
419,BARRA DO TURVO,-24.962819,-48.416379
420,PRADÓPOLIS,-21.338432,-48.114007
421,BARRETOS,-20.559175,-48.544997
422,ITUVERAVA,-20.35976,-47.77522
423,BARUERI,-23.52389,-46.86945
